# codepoint	char	readings_display	readings_normalized	tones	freq	sources
U+98DB	飛	ヒ,とぶ,とばす	hi,tobu,tobasu	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98DC	飜	ハン,ホン,ひるがえす,ひるがえる	han,hon,hirugaesu,hirugaeru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98DF	食	ショク,ジキ,くう,くらう,たべる,はむ	shoku,jiki,kuu,kurau,taberu,hamu	0,0,0,0,0,0	0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98E1	飡	サン,ソン,のむ,くらう	san,son,nomu,kurau	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98E2	飢	キ,うえる	ki,ueru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98E3	飣	テイ,チョウ,たくわえる	tei,chou,takuwaeru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98E5	飥	タク,もち	taku,mochi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98E6	飦	ケン,コン,セン,カン,かゆ,ほしいい	ken,kon,sen,kan,kayu,hoshiii	0,0,0,0,0,0	0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98E7	飧	ソン,ばんめし	son,banmeshi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98E9	飩	ドン,トン	don,ton	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98EA	飪	ジン,ニン,にる	jin,nin,niru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98EB	飫	ヨウ,オ,ヨ,あきる	you,o,yo,akiru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98ED	飭	チョク,チキ,いましめる,ただす	choku,chiki,imashimeru,tadasu	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98EE	飮	イン,オン,のむ	in,on,nomu	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98EF	飯	ハン,めし	han,meshi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98F0	飰	ハン,くらう,めし	han,kurau,meshi	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98F2	飲	イン,オン,のむ,のみ	in,on,nomu,nomi	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98F3	飳	シュ,チュ,トウ,ツ,こなもち	shu,chu,tou,tsu,konamochi	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
