# codepoints	text	readings_display	readings_normalized	source
U+304A,U+5BDD,U+5C0F	お寝小	おねしょ	onesho	JMDICT
U+304A,U+65B0,U+9999	お新香	おしんこ	oshinko	JMDICT
U+304A,U+6D78,U+3057	お浸し	おひたし	ohitashi	JMDICT
U+304A,U+795E,U+9152	お神酒	おみき	omiki	JMDICT
U+304A,U+5C0B,U+306D,U+8005	お尋ね者	おたずねもの	otazunemono	JMDICT
U+304A,U+4E16,U+8F9E	お世辞	おせじ	oseji	JMDICT
U+304A,U+4E16,U+8A71,U+306B,U+306A,U+308B	お世話になる	おせわになる	osewaninaru	JMDICT
U+304A,U+751F,U+618E,U+69D8	お生憎様	おあいにくさま	oainikusama	JMDICT
U+304A,U+5148,U+306B	お先に	おさきに	osakini	JMDICT
U+304A,U+524D	お前	おまえ	omae	JMDICT
U+304A,U+524D,U+3055,U+3093	お前さん	おまえさん	omaesan	JMDICT
U+304A,U+81B3	お膳	おぜん	ozen	JMDICT
U+304A,U+7956,U+7236,U+3055,U+3093	お祖父さん	おじいさん	ojiisan	JMDICT
U+304A,U+7956,U+6BCD,U+3055,U+3093	お祖母さん	おばあさん	obaasan	JMDICT
U+304A,U+65E9,U+3046,U+3054,U+3056,U+3044,U+307E,U+3059	お早うございます	おはようございます	ohayougozaimasu	JMDICT
U+304A,U+5B6B,U+3055,U+3093	お孫さん	おまごさん	omagosan	JMDICT
U+304A,U+5F85,U+3061,U+3069,U+304A,U+3055,U+307E	お待ちどおさま	おまちどおさま	omachidoosama	JMDICT
U+304A,U+888B	お袋	おふくろ	ofukuro	JMDICT
U+304A,U+5927,U+4E8B,U+306B	お大事に	おだいじに	odaijini	JMDICT
U+304A,U+5B85	お宅	おたく	otaku	JMDICT
U+304A,U+8A95,U+751F,U+65E5,U+304A,U+3081,U+3067,U+3068,U+3046,U+3054,U+3056,U+3044,U+307E,U+3059	お誕生日おめでとうございます	おたんじょうびおめでとうございます	otanjoubiomedetougozaimasu	JMDICT
U+304A,U+77E5,U+3089,U+305B	お知らせ	おしらせ	oshirase	JMDICT
U+304A,U+8336	お茶	おちゃ	ocha	JMDICT
U+304A,U+732A,U+53E3	お猪口	おちょこ	ochoko	JMDICT
U+304A,U+558B,U+308A	お喋り	おしゃべり	oshaberi	JMDICT
U+304A,U+5929,U+6C17	お天気	おてんき	otenki	JMDICT
U+304A,U+8EE2,U+5A46	お転婆	おてんば	otenba	JMDICT
U+304A,U+5C60,U+8607	お屠蘇	おとそ	otoso	JMDICT
U+304A,U+571F,U+7523	お土産	おみやげ	omiyage	JMDICT
U+304A,U+6E6F	お湯	おゆ	oyu	JMDICT
U+304A,U+5F97	お得	おとく	otoku	JMDICT
U+304A,U+51F8	お凸	おでこ	odeko	JMDICT
U+304A,U+5A46,U+3093	お婆ん	おばん	oban	JMDICT
U+304A,U+75B2,U+308C,U+69D8	お疲れ様	おつかれさま	otsukaresama	JMDICT
U+304A,U+4ED8,U+304D	お付き	おつき	otsuki	JMDICT
U+304A,U+7236,U+3055,U+3093	お父さん	おとうさん	otousan	JMDICT
U+304A,U+98A8,U+5442,U+306B,U+5165,U+308B	お風呂に入る	おふろにはいる	ofuronihairu	JMDICT
U+304A,U+8179	お腹	おなか	onaka	JMDICT
U+304A,U+5225,U+308C	お別れ	おわかれ	owakare	JMDICT
U+304A,U+8FD4,U+3057	お返し	おかえし	okaeshi	JMDICT
U+304A,U+6BCD,U+3055,U+3093	お母さん	おかあさん	okaasan	JMDICT
U+304A,U+6BCD,U+69D8	お母様	おかあさま	okaasama	JMDICT
U+304A,U+574A,U+3061,U+3083,U+3093	お坊ちゃん	おぼっちゃん	obocchan	JMDICT
U+304A,U+58A8,U+4ED8,U+304D	お墨付き	おすみつき	osumitsuki	JMDICT
U+304A,U+76C6	お盆	おぼん	obon	JMDICT
U+304A,U+9905	お餅	おもち	omochi	JMDICT
U+304A,U+51B7	お冷	おひや	ohiya	JMDICT
U+304A,U+6F0F,U+3089,U+3057	お漏らし	おもらし	omorashi	JMDICT
U+304A,U+8A71,U+4E2D	お話中	おはなしちゅう	ohanashichuu	JMDICT
U+304A,U+7897	お碗	おわん	owan	JMDICT
U+304A,U+6D12,U+843D	お洒落	おしゃれ	oshare	JMDICT
U+754F,U+307E,U+308A,U+307E,U+3057,U+305F	畏まりました	かしこまりました	kashikomarimashita	JMDICT
U+60B4,U+3080	悴む	かじかむ	kajikamu	JMDICT
U+68B6,U+6728	梶木	かじき	kajiki	JMDICT
U+7247,U+53E3,U+9C2F	片口鰯	かたくちいわし	katakuchiiwashi	JMDICT
U+683C,U+597D,U+3064,U+3051,U+308B	格好つける	かっこうつける	kakkoutsukeru	JMDICT
U+63BB,U+3063,U+652B,U+3046	掻っ攫う	かっさらう	kassarau	JMDICT
U+6575,U+308F,U+306A,U+3044	敵わない	かなわない	kanawanai	JMDICT
U+4E0A,U+3055,U+3093	上さん	かみさん	kamisan	JMDICT
U+304B,U+3082,U+77E5,U+308C,U+306A,U+3044	かも知れない	かもしれない	kamoshirenai	JMDICT
U+304B,U+3082,U+77E5,U+308C,U+307E,U+305B,U+3093	かも知れません	かもしれません	kamoshiremasen	JMDICT
U+63F6,U+63C4,U+3044	揶揄い	からかい	karakai	JMDICT
U+7D61,U+7E70,U+308A	絡繰り	からくり	karakuri	JMDICT
U+304B,U+3089,U+3068,U+8A00,U+3063,U+3066	からと言って	からといって	karatoitte	JMDICT
U+304B,U+5F31,U+3044	か弱い	かよわい	kayowai	JMDICT
U+304C,U+3063,U+3061,U+308A,U+5C4B	がっちり屋	がっちりや	gacchiriya	JMDICT
U+304C,U+3089,U+304C,U+3089,U+86C7	がらがら蛇	がらがらへび	garagarahebi	JMDICT
U+4F3D,U+85CD,U+5802	伽藍堂	がらんどう	garandou	JMDICT
U+30AC,U+30EA,U+52C9	ガリ勉	がりべん	gariben	JMDICT
U+304D,U+304B,U+3093,U+6C17	きかん気	きかんき	kikanki	JMDICT
U+5C79,U+5EA6	屹度	きっと	kitto	JMDICT
U+523B,U+3005	刻々	ギザギザ	gizagiza	JMDICT
U+304E,U+3063,U+304F,U+308A,U+8170	ぎっくり腰	ぎっくりごし	gikkurigoshi	JMDICT
U+9650,U+308A,U+9650,U+308A	限り限り	ぎりぎり	girigiri	JMDICT
U+568F	嚏	くしゃみ	kushami	JMDICT
U+304F,U+3059,U+304F,U+3059,U+7B11,U+3046	くすくす笑う	くすくすわらう	kusukusuwarau	JMDICT
U+64FD,U+3063,U+305F,U+3044	擽ったい	くすぐったい	kusuguttai	JMDICT
U+64FD,U+308B	擽る	くすぐる	kusuguru	JMDICT
U+8349,U+81E5,U+308C,U+308B	草臥れる	くたびれる	kutabireru	JMDICT
U+6894,U+5B50	梔子	くちなし	kuchinashi	JMDICT
U+304F,U+3063,U+4ED8,U+304F	くっ付く	くっつく	kuttsuku	JMDICT
U+304F,U+3063,U+4ED8,U+3051,U+308B	くっ付ける	くっつける	kuttsukeru	JMDICT
U+304F,U+3064,U+304F,U+3064,U+6CD5,U+5E2B	くつくつ法師	くつくつぼうし	kutsukutsuboushi	JMDICT
U+9688,U+306A,U+304F	隈なく	くまなく	kumanaku	JMDICT
U+6BD4,U+3079	比べ	くらべ	kurabe	JMDICT
U+304F,U+308B,U+75C5	くる病	くるびょう	kurubyou	JMDICT
U+304F,U+308F,U+5165,U+308C,U+5F0F	くわ入れ式	くわいれしき	kuwaireshiki	JMDICT
U+30AF,U+30F3,U+30AF,U+30F3,U+9CF4,U+304F	クンクン鳴く	クンクンなく	kunkunnaku	JMDICT
U+611A,U+56F3,U+611A,U+56F3	愚図愚図	ぐずぐず	guzuguzu	JMDICT
U+3050,U+3089,U+4ED8,U+304F	ぐら付く	ぐらつく	guratsuku	JMDICT
U+30B1,U+30C4,U+306E,U+7A74	ケツの穴	けつのあな	ketsunoana	JMDICT
U+30B1,U+30E9,U+30B1,U+30E9,U+7B11,U+3046	ケラケラ笑う	ケラケラわらう	kerakerawarau	JMDICT
U+30B2,U+30E9,U+30B2,U+30E9,U+7B11,U+3046	ゲラゲラ笑う	ゲラゲラわらう	geragerawarau	JMDICT
U+30B2,U+30F3,U+3092,U+62C5,U+3050	ゲンを担ぐ	げんをかつぐ	genwokatsugu	JMDICT
U+65AF,U+3046	斯う	こう	kou	JMDICT
U+3053,U+3046,U+8A00,U+3046	こう言う	こういう	kouiu	JMDICT
U+3053,U+3058,U+4ED8,U+3051,U+308B	こじ付ける	こじつける	kojitsukeru	JMDICT
U+3053,U+305D,U+6CE5	こそ泥	こそどろ	kosodoro	JMDICT
U+70AC,U+71F5,U+639B,U+3051	炬燵掛け	こたつがけ	kotatsugake	JMDICT
U+3053,U+305F,U+3064,U+5E03,U+56E3	こたつ布団	こたつぶとん	kotatsubuton	JMDICT
U+62D8,U+308A	拘り	こだわり	kodawari	JMDICT
U+62D8,U+308B	拘る	こだわる	kodawaru	JMDICT
U+6B64,U+65B9	此方	こちら	kochira	JMDICT
U+6B64,U+65B9	此方	こなた	konata	JMDICT
U+6B64,U+65B9,U+3053,U+305D	此方こそ	こちらこそ	kochirakoso	JMDICT
U+4E8B,U+304C,U+3042,U+308B	事がある	ことがある	kotogaaru	JMDICT
U+3053,U+3068,U+304C,U+51FA,U+6765,U+308B	ことが出来る	ことができる	kotogadekiru	JMDICT
U+6089,U+304F	悉く	ことごとく	kotogotoku	JMDICT
U+4E8B,U+306B,U+3059,U+308B,U+3068	事にすると	ことにすると	kotonisuruto	JMDICT
U+4E8B,U+306B,U+306A,U+308B	事になる	ことになる	kotoninaru	JMDICT
U+4E8B,U+306B,U+3088,U+3063,U+3066	事によって	ことによって	kotoniyotte	JMDICT
U+6B64,U+9593	此間	こないだ	konaida	JMDICT
U+3053,U+306E,U+5916	この外	このほか	konohoka	JMDICT
U+3053,U+306E,U+3088,U+3046,U+306A,U+5834,U+5408,U+306B	このような場合に	このようなばあいに	konoyounabaaini	JMDICT
U+3053,U+306E,U+9593	この間	このあいだ	konoaida	JMDICT
U+3053,U+306E,U+7D50,U+679C	この結果	このけっか	konokekka	JMDICT
U+3053,U+306E,U+9803	この頃	このごろ	konogoro	JMDICT
U+3053,U+306E,U+5834,U+5408	この場合	このばあい	konobaai	JMDICT
U+3053,U+306E,U+5EA6	この度	このたび	konotabi	JMDICT
U+3053,U+306E,U+8FBA	この辺	このへん	konohen	JMDICT
U+3053,U+307C,U+3057,U+8A71	こぼし話	こぼしばなし	koboshibanashi	JMDICT
U+6B64,U+308C,U+304B,U+3089	此れから	これから	korekara	JMDICT
U+3053,U+308C,U+3068,U+540C,U+3058	これと同じ	これとおなじ	koretoonaji	JMDICT
U+3053,U+308C,U+8FC4	これ迄	これまで	koremade	JMDICT
U+3053,U+308C,U+7B49	これ等	これら	korera	JMDICT
U+3054,U+3063,U+305F,U+8FD4,U+3059	ごった返す	ごったがえす	gottagaesu	JMDICT
U+8AA4,U+9B54,U+5316,U+3057	誤魔化し	ごまかし	gomakashi	JMDICT
U+30B4,U+30DF,U+5165,U+308C	ゴミ入れ	ごみいれ	gomiire	JMDICT
U+30B4,U+30DF,U+7BB1	ゴミ箱	ごみばこ	gomibako	JMDICT
U+3054,U+82E6,U+52B4,U+69D8	ご苦労様	ごくろうさま	gokurousama	JMDICT
U+3054,U+82E6,U+52B4,U+3055,U+3093	ご苦労さん	ごくろうさん	gokurousan	JMDICT
U+3054,U+5144,U+5F1F	ご兄弟	ごきょうだい	gokyoudai	JMDICT
U+3054,U+5FC3,U+914D,U+306A,U+304F	ご心配なく	ごしんぱいなく	goshinpainaku	JMDICT
U+3054,U+99B3,U+8D70,U+69D8,U+3067,U+3057,U+305F	ご馳走様でした	ごちそうさまでした	gochisousamadeshita	JMDICT
U+3054,U+6CE8,U+610F	ご注意	ごちゅうい	gochuui	JMDICT
U+3054,U+89A7,U+304F,U+3060,U+3055,U+3044	ご覧ください	ごらんください	gorankudasai	JMDICT
U+3055,U+305B,U+5B50	させ子	させこ	saseko	JMDICT
U+5148	先	さっき	sakki	JMDICT
U+98AF,U+3068	颯と	さっと	satto	JMDICT
