瓂,개
砎,개
礚,개
祄,개
祴,개
稭,개
絠,개
腉,개
葢,개
蒈,개
蚧,개
蝔,개
衸,개
郂,개
鈣,개
鍇,개
鎎,개
鐦,개
钙,개
铠,개
锎,개
锴,개
闿,개
阣,개
颽,개
魀,개
魪,개
鶛,개
豈,개
慨,개
喀,객
客,객
㗆,객
䘔,객
塥,객
揢,객
碦,객
衉,객
㖋,갯
㖎,갯
坑,갱
粳,갱
羹,갱
硜,갱
賡,갱
鏗,갱
㧶,갱
㰢,갱
㹴,갱
䃘,갱
䎴,갱
䡖,갱
䡠,갱
䡰,갱
䢚,갱
劥,갱
坈,갱
妔,갱
硁,갱
硻,갱
秔,갱
稉,갱
羮,갱
赓,갱
銵,갱
鍞,갱
铿,갱
阬,갱
更,갱
醵,갹
㖸,갹
㷾,갹
䣰,갹
勪,갹
噱,갹
臄,갹
谻,갹
倨,거
去,거
居,거
巨,거
拒,거
据,거
據,거
擧,거
渠,거
炬,거
祛,거
距,거
踞,거
遽,거
鉅,거
鋸,거
呿,거
昛,거
秬,거
筥,거
籧,거
胠,거
腒,거
苣,거
莒,거
蕖,거
蘧,거
袪,거
裾,거
駏,거
㝒,거
㞐,거
㠪,거
㣄,거
㨿,거
㩀,거
㪯,거
㫢,거
㭕,거
㯫,거
㰦,거
䅕,거
䆽,거
䒧,거
䛯,거
䝣,거
䝻,거
䟊,거
䢹,거
䱟,거
䵕,거
䶙,거
举,거
伡,거
佢,거
俥,거
凥,거
勮,거
匷,거
厺,거
啹,거
壉,거
姖,거
婮,거
岠,거
崌,거
弆,거
怇,거
懅,거
拠,거
挙,거
攑,거
柜,거
椐,거
榉,거
櫸,거
欅,거
歫,거
洰,거
涺,거
淭,거
澽,거
琚,거
璖,거
璩,거
磲,거
簴,거
粔,거
紶,거
翗,거
耟,거
舉,거
艍,거
菃,거
虡,거
蚷,거
蜛,거
螶,거
蟝,거
衐,거
襷,거
詎,거
詓,거
讵,거
豦,거
躆,거
鐻,거
钜,거
键,거
锯,거
阹,거
