# golden parity table for FUZZY_LONG_VOWEL: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
imashi	
imashime	
imashimeru	
imawashii	
imi	
imina	
imo	
imomushi	
imori	
imoto	
imouto	imoto
imu	
in	
ina	
inabikari	
inada	
inago	
inamu	
inanaku	
inbako	
inchi	
ine	
inishie	
inoashi	
inochi	
inoko	
inori	
inoru	
inoshishi	
inu	
inuawa	
inubie	
inuenju	
inui	
inunazuna	
io	
iori	
iradatsu	
iraka	
ire	
ireru	
irezumi	
iri	
irie	
irigome	
irijiumu	
irimajiru	
iro	
irodori	
irodoru	
iroginu	
irori	
irotsuchi	
iru	
iruka	
isagiami	
isagiyoi	
isagomushi	
isakau	
isamashii	
isame	
isameru	
isamu	
isao	
isasaka	
ise	
ishi	
ishibari	
ishibumi	
ishidatami	
ishihajiki	
ishimochi	
ishiyama	
ishiyumi	
ishizue	
ishizuki	
ishizumi	
iso	
isogashii	
isogi	
isogiyuku	
isogu	
isoshimu	
isuka	
isuru	
ita	
itachi	
itadaki	
itadaku	
itagakoi	
itagane	
itai	
itamashii	
itameru	
itamu	
itaru	
itasu	
itatsuki	
itawaru	
itazuki	
itazura	
iteru	
ito	
itogameguru	
itoguchi	
itogutsu	
itokenai	
itokuda	
itoma	
itomakinoashi	
itonami	
itonamu	
itonomotsure	
itoshii	
itou	ito
itowaku	
itsu	
itsuku	
itsukushi	
itsukushimanai	
itsukushimi	
itsukushimu	
itsutsu	
itsuwari	
itsuwaru	
itterubiumu	
ittoriumu	
iu	
iwa	
iwaku	
iwana	
iwanya	
iwao	
iwashi	
iwau	
iwaya	
iwayuru	
iya	
iyaiyakotaeru	
iyaninaru	
iyashii	
iyashikumo	
iyashimeru	
iyashimu	
iyasu	
iyoiyo	
izanau	
izari	
izaru	
izukuni	
izukunzo	
izumi	
izure	
ja	
jaku	
jan	
jareru	
ji	
jichi	
jigabachi	
jigane	
jigo	
jii	
jiji	
jijii	
jika	
jiki	
jiku	
jikugashira	
jime	
jin	
jinai	
jinkou	jinko
jirasu	
jireru	
jirettai	
jirushi	
jisha	
jishibari	
jitsu	
jiyu	
jo	
joku	
jotsu	
jou	jo
jougi	jogi
ju	
juchi	
juku	
jun	
junjiru	
junzuru	
jutsu	
juu	ju
ka	
kaba	
kaban	
kabau	
kabe	
kabi	
kabiru	
kabu	
kabura	
kaburaya	
kaburi	
kaburu	
kabuseru	
kabuto	
kabutogani	
kachi	
kachidoki	
kado	
kadomiumu	
kae	
kaeau	
kaede	
kaerimiru	
kaeru	
kaesu	
kaette	
kagameru	
kagami	
kagamidai	
kagamitai	
kagamu	
kagari	
kagaribi	
kagaru	
kagayaku	
kage	
kagerou	kagero
kageru	
kagi	
kagibana	
kagiri	
kagiru	
kago	
kagu	
kai	
kaibaoke	
kaichuu	kaichu
kaigarabone	
kaiko	
kaikonosu	
kaina	
kairagi	
kairi	
kaiyone	
kaji	
kajika	
kajiki	
kajiru	
kaka	
kakaa	
kakaeru	
kakageru	
kakame	
kakari	
kakaru	
kakasu	
kakato	
kakawaru	
kake	
kakeba	
kakehashi	
kakehi	
kakeru	
kakesu	
kaki	
kakiatsumeru	
kakiiro	
kakimono	
kakine	
kakoi	
kakomu	
kakotsu	
kakotsukeru	
kakou	kako
kaku	
kakumau	
kakureru	
kakushi	
kakusu	
kakusuru	
kakutaru	
kama	
kamabisushii	
kamachi	
kamado	
kamaeru	
kamasu	
kamau	
kame	
kami	
kamikaesu	
kamikazari	
kamikirimushi	
kaminari	
kamishimo	
kamizutsumi	
kamo	
kamoji	
kamome	
kamoshika	
kamosu	
kamu	
kamuro	
kan	
kana	
kanabasami	
kanaderu	
kanae	
