# golden parity table for FUZZY_LONG_VOWEL: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
tsuyokuisamashii	
tsuyomaru	
tsuyomeru	
tsuyu	
tsuzukeru	
tsuzuku	
tsuzumaru	
tsuzumayaka	
tsuzumeru	
tsuzumi	
tsuzura	
tsuzuri	
tsuzuru	
u	
uba	
ubau	
ubu	
uchi	
uchiatarukoe	
uchibari	
uchigi	
uchihimo	
uchiido	
uchikake	
uchiki	
uchikizu	
ude	
udemakurisuru	
uderu	
udewa	
udon	
ue	
uejini	
ueru	
ugai	
ugatsu	
ugokasu	
ugoku	
ugomeku	
ugui	
uguisu	
ui	
uji	
ujimushi	
ukaberu	
ukabu	
ukagaimeru	
ukagaimiru	
ukagau	
ukareru	
ukaru	
uke	
ukeru	
uketamawaru	
uki	
ukibori	
ukibukuro	
ukigusa	
ukikusa	
uku	
uma	
umagayamu	
umai	
umakai	
umare	
umareru	
umaru	
umaya	
umazake	
ume	
umeki	
umeku	
umeru	
umi	
umiebi	
umigame	
umihebi	
umoreru	
umu	
un	
unagasu	
unagi	
unai	
unaji	
unari	
unaru	
unasareru	
unazuku	
une	
uneme	
uneru	
unu	
uo	
uoami	
ura	
urakata	
urameshii	
urami	
uramu	
uranai	
uranau	
uraniumu	
uraraka	
urayamu	
ure	
ureekurushimu	
ureeru	
ureerusama	
urei	
ureru	
ureshii	
uri	
uriwata	
uriyone	
uroko	
uru	
uruchi	
urumu	
uruoi	
uruosu	
uruou	uruo
urusagaru	
urusai	
urusakushaberu	
urushi	
uruu	uru
uruwashii	
usagi	
usagiami	
usagiuma	
useru	
ushi	
ushinau	
ushio	
ushiro	
ushitora	
uso	
usobuku	
ussuru	
usu	
usuaoguroi	
usuba	
usuginu	
usui	
usuiakairo	
usuikifuda	
usujiku	
usumaru	
usumeru	
usumono	
usura	
usuragu	
usureru	
usutsuku	
usuzake	
usuzuku	
uta	
utagau	
utage	
utai	
utaime	
utata	
utau	
utautau	
utena	
utoi	
utomu	
utsu	
utsubari	
utsubo	
utsugi	
utsuke	
utsukushii	
utsukushiikane	
utsumuku	
utsuo	
utsuro	
utsuru	
utsushi	
utsushiueru	
utsusu	
utsutsu	
utsuwa	
uttae	
uttaeru	
uttorisuru	
uwa	
uwaago	
uwabami	
uwagoto	
uwagusuri	
uwamezukai	
uwaru	
uwasa	
uyamau	
uyamuya	
uyauyashii	
uzu	
uzuku	
uzukumaru	
uzumaki	
uzumaru	
uzumeru	
uzumibi	
uzura	
uzutakai	
wa	
wabi	
wabiru	
wabishii	
wachi	
wadachi	
wadachii	
wadakamaru	
waga	
waganeru	
wage	
wai	
waka	
wakai	
wakajini	
wakare	
wakareru	
wakaru	
wakasagi	
wakasu	
wakataka	
wakatsu	
wake	
wakeru	
waki	
wakibara	
wakibasamu	
wakibeya	
wakigi	
wakimaeru	
wakimizu	
wakinoshita	
waku	
wameku	
wan	
wana	
wananaku	
wani	
wankago	
wara	
warabe	
warabi	
waraji	
warajimushi	
warataba	
warau	
warawa	
ware	
wareru	
wari	
warifu	
warigo	
waru	
warugashikoi	
warui	
warukuiu	
wase	
washi	
wasureru	
wata	
wataire	
watakushi	
wataru	
watashi	
watasu	
watsu	
waza	
wazaogi	
wazato	
wazawai	
wazuka	
wazurau	
wazurawashii	
wazurawasu	
wo	
ya	
yaado	
yaaru	
yabu	
yabukarashi	
yabunirami	
yaburegoromo	
yabureru	
yaburetakaki	
yaburu	
yabusaka	
yabutabako	
yachi	
yado	
yadoru	
yadosu	
yagara	
yagate	
yagura	
yahazu	
yaiba	
yaito	
yajiri	
yakai	
yakamashii	
yakara	
yakata	
yakeru	
yaki	
yakibata	
yakigari	
yakigome	
yakimono	
yakinabe	
yakita	
yakitsuchi	
yakko	
yaku	
yakusho	
yama	
yamaai	
yamabi	
yamadori	
yamaguwa	
yamai	
yamainu	
yamamichi	
yamamori	
yamanashi	
yamanira	
yamanire	
yamanokatachi	
yamanotakai	
yamashii	
yamashina	
yamato	
yamenai	
yameru	
yami	
yamome	
yamoo	yamo
yamu	
yana	
yanagi	
yanone	
yara	
yarai	
yari	
yaru	
yasai	
yasashii	
yaseru	
yasetekataitsuchi	
yasetsuchi	
yashi	
yashiki	
yashinau	
yashiro	
yasu	
yasude	
yasui	
yasumaru	
yasumeru	
yasumu	
yasunjiru	
yasunzuru	
yasuraka	
yasuraku	
yasuri	
yatou	yato
yatsu	
yatsureru	
yatsuru	
yatsusu	
yattsu	
yawa	
yawara	
yawarageru	
yawaragu	
yawaraka	
yawarakai	
yawarakakumatsuharu	
yaya	
yazutsu	
yo	
yoake	
yobina	
yobu	
yobukodori	
yodare	
yodomi	
yodomu	
yofune	
yogiru	
yogoreru	
yogosu	
yoi	
yoikane	
yoikotoba	
yoishireru	
yoiwarabe	
yojiru	
yoke	
yokeru	
yoki	
yoko	
yokogi	
yokoito	
yokome	
yokoshima	
yokotaeru	
yokotawaru	
yoku	
yokuiu	
yokushaberu	
yokutsutsushimu	
yome	
yomi	
yomigaeru	
yomisuru	
yomogi	
yomu	
yon	
yonageru	
yone	
yonesake	
yonjuu	yonju
yoreru	
yori	
yoroi	
yoroigusa	
yorokobasu	
yorokobi	
yorokobu	
yorokondeugoku	
yoromeku	
yoroshii	
yoroshiku	
yorou	yoro
yorozu	
yoru	
yoseru	
yoshi	
yoshimi	
yoshitosuru	
yosooi	yosoi
yosoou	yosoo,yosou
yosou	yoso
yosu	
yosuga	
yotaka	
yotsu	
yotsugi	
yotte	
yottsu	
you	yo
yousu	yosu
youyaku	yoyaku
youyou	yoyo
yowai	
yowaisuru	
yowamaru	
yowameru	
yowaru	
yoyo	
yu	
yubari	
yubi	
yubinomata	
yubukuro	
yudame	
yudaneru	
yuderu	
yudono	
yue	
yugake	
yugamu	
yugi	
yugote	
yuhazu	
yui	
yuka	
yukari	
yuki	
yukinayamu	
yukinoshita	
yuku	
yume	
yumemiru	
yumi	
yumibukuro	
yumigatsuyoi	
yuminona	
yumushi	
yunomi	
yuragu	
yureru	
yuri	
yuru	
yurugase	
yurugu	
yurui	
yurumeru	
yurumi	
yurumu	
yurusu	
yuruyaka	
yuruyakade	
yusaburu	
yusuburu	
yusugu	
yusuru	
yutaka	
yuu	yu
yuugata	yugata
yuumeshi	yumeshi
yuwaeru	
yuzu	
yuzuka	
yuzuriha	
yuzuru	
za	
zachi	
zai	
zakana	
zaki	
zaku	
zakuro	
zan	
zareru	
zaru	
zatsu	
ze	
zechi	
zei	
zeki	
zen	
zeni	
zeniaoi	
zenigame	
zenisashi	
zenmai	
zero	
zetsu	
zo	
zochi	
zoi	
zoku	
zome	
zon	
zou	zo
zouri	zori
zu	
zubon	
zui	
zuimushi	
zuka	
zukai	
zukare	
zuke	
zukeru	
zuki	
zukin	
zuku	
zukuri	
zumai	
zume	
zumi	
zurai	
zure	
zuri	
zurui	
zushi	
zutai	
zutome	
zutsu	
zutsuu	zutsu
